File,Label
0.png,0
1.png,0
10.png,0
100.png,2
101.png,2
102.png,1
103.png,1
104.png,0
105.png,0
106.png,1
107.png,0
108.png,0
109.png,1
11.png,1
110.png,1
111.png,0
112.png,0
113.png,2
114.png,1
115.png,3
116.png,0
117.png,0
118.png,1
119.png,1
12.png,1
120.png,0
121.png,1
122.png,1
123.png,3
124.png,3
125.png,2
126.png,2
127.png,1
128.png,1
129.png,0
13.png,1
130.png,2
131.png,2
132.png,3
133.png,2
134.png,2
135.png,0
136.png,3
137.png,3
138.png,3
139.png,2
14.png,0
140.png,0
141.png,1
142.png,2
143.png,2
144.png,3
145.png,1
146.png,1
147.png,3
148.png,2
149.png,1
15.png,0
150.png,1
151.png,1
152.png,2
153.png,3
154.png,2
155.png,2
156.png,2
157.png,2
158.png,0
159.png,0
16.png,0
160.png,0
161.png,2
162.png,3
163.png,0
164.png,0
165.png,3
166.png,2
167.png,1
168.png,0
169.png,2
17.png,0
170.png,2
171.png,1
172.png,3
173.png,3
174.png,3
175.png,1
176.png,1
177.png,0
178.png,0
179.png,2
18.png,0
180.png,2
181.png,3
182.png,1
183.png,2
184.png,3
185.png,0
186.png,3
187.png,2
188.png,2
189.png,1
19.png,0
190.png,1
191.png,0
192.png,0
193.png,2
194.png,2
195.png,3
196.png,1
197.png,2
198.png,3
199.png,0
2.png,0
20.png,1
200.png,3
201.png,2
202.png,2
203.png,0
204.png,0
205.png,0
206.png,1
207.png,1
208.png,1
209.png,0
21.png,1
210.png,0
211.png,0
212.png,1
213.png,1
214.png,0
215.png,0
216.png,0
217.png,1
218.png,1
219.png,1
22.png,1
220.png,0
221.png,0
222.png,2
223.png,1
224.png,1
225.png,0
226.png,3
227.png,0
228.png,0
229.png,1
23.png,0
230.png,1
231.png,1
232.png,1
233.png,2
234.png,0
235.png,2
236.png,0
237.png,1
238.png,1
239.png,0
24.png,0
240.png,0
241.png,0
242.png,1
243.png,1
244.png,1
245.png,0
246.png,0
247.png,0
248.png,1
249.png,2
25.png,0
250.png,0
251.png,0
252.png,0
253.png,1
254.png,1
255.png,0
256.png,0
257.png,0
258.png,1
259.png,2
26.png,3
260.png,1
261.png,3
262.png,0
263.png,1
264.png,3
265.png,2
266.png,0
267.png,0
268.png,2
269.png,1
27.png,3
270.png,3
271.png,1
272.png,2
273.png,1
274.png,0
275.png,3
276.png,3
277.png,3
278.png,1
279.png,2
28.png,0
280.png,2
281.png,2
282.png,0
283.png,1
284.png,3
285.png,1
286.png,0
287.png,1
288.png,0
289.png,1
29.png,2
290.png,0
291.png,3
292.png,0
293.png,1
294.png,0
295.png,2
296.png,1
297.png,1
298.png,0
299.png,1
3.png,1
30.png,2
300.png,0
301.png,1
302.png,1
303.png,0
304.png,0
305.png,0
306.png,1
307.png,1
308.png,0
309.png,1
31.png,0
310.png,0
311.png,1
312.png,1
313.png,3
314.png,1
315.png,1
316.png,0
317.png,2
318.png,1
319.png,1
32.png,3
320.png,0
321.png,1
322.png,0
323.png,0
324.png,1
325.png,1
326.png,1
327.png,1
328.png,1
329.png,1
33.png,3
330.png,2
331.png,3
332.png,2
333.png,3
334.png,1
335.png,2
336.png,1
337.png,1
338.png,1
339.png,0
34.png,1
340.png,1
341.png,1
342.png,1
343.png,1
344.png,0
345.png,0
346.png,1
347.png,0
348.png,1
349.png,3
35.png,1
350.png,1
351.png,1
352.png,0
353.png,2
354.png,1
355.png,1
356.png,0
357.png,0
358.png,1
359.png,2
36.png,1
360.png,1
361.png,3
362.png,0
363.png,0
364.png,0
365.png,1
366.png,1
367.png,3
368.png,0
369.png,1
37.png,0
370.png,1
371.png,2
372.png,1
373.png,0
374.png,1
375.png,0
376.png,1
377.png,1
378.png,1
379.png,1
38.png,0
380.png,0
381.png,0
382.png,1
383.png,0
384.png,1
385.png,3
386.png,1
387.png,1
388.png,0
389.png,2
39.png,0
390.png,1
391.png,1
392.png,0
393.png,0
394.png,1
395.png,2
396.png,1
397.png,3
398.png,0
399.png,0
4.png,1
40.png,1
400.png,0
401.png,1
402.png,1
403.png,3
404.png,0
405.png,1
406.png,1
407.png,2
408.png,1
409.png,0
41.png,1
410.png,1
411.png,0
412.png,1
413.png,1
414.png,1
415.png,1
416.png,0
417.png,0
418.png,1
419.png,0
42.png,1
420.png,1
421.png,3
422.png,1
423.png,1
424.png,0
425.png,2
426.png,1
427.png,1
428.png,0
429.png,0
43.png,2
430.png,1
431.png,2
432.png,1
433.png,3
434.png,0
435.png,0
436.png,0
437.png,1
438.png,1
439.png,3
44.png,2
440.png,0
441.png,1
442.png,1
443.png,2
444.png,1
445.png,0
446.png,1
447.png,0
45.png,1
46.png,3
47.png,3
48.png,0
49.png,2
5.png,1
50.png,2
51.png,0
52.png,0
53.png,0
54.png,1
55.png,1
56.png,1
57.png,0
58.png,0
59.png,0
6.png,0
60.png,0
61.png,0
62.png,1
63.png,1
64.png,1
65.png,0
66.png,0
67.png,0
68.png,0
69.png,0
7.png,0
70.png,0
71.png,1
72.png,1
73.png,1
74.png,0
75.png,0
76.png,0
77.png,3
78.png,3
79.png,0
8.png,0
80.png,2
81.png,2
82.png,0
83.png,3
84.png,3
85.png,1
86.png,1
87.png,1
88.png,0
89.png,0
9.png,0
90.png,0
91.png,1
92.png,1
93.png,1
94.png,2
95.png,2
96.png,1
97.png,3
98.png,3
99.png,0
1000.png,0
1001.png,1
1002.png,1
1003.png,1
1004.png,0
1005.png,0
1006.png,1
1007.png,1
1008.png,1
1009.png,0
1010.png,0
1011.png,0
1012.png,1
1013.png,1
1014.png,1
1015.png,3
1016.png,3
1017.png,1
1018.png,2
1019.png,2
1020.png,1
1021.png,1
1022.png,1
1023.png,0
1024.png,0
